Matram,longitude,latitude,Z.Elev,Date,Salinity,CL,Month,DayOfYear,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Dist_to_Sea_km,TanChau_WL,TanChau_WL_lag3,TanChau_WL_lag7,ViThanh_WL,ViThanh_WL_lag3,ViThanh_WL_lag7,PhungHiep_WL,PhungHiep_WL_lag3,PhungHiep_WL_lag7,MyThuan_WL,MyThuan_WL_lag3,MyThuan_WL_lag7,GiangSon_WL,GiangSon_WL_lag3,GiangSon_WL_lag7,DucXuyen_WL,DucXuyen_WL_lag3,DucXuyen_WL_lag7,ChoLach_WL,ChoLach_WL_lag3,ChoLach_WL_lag7,ChauDoc_WL,ChauDoc_WL_lag3,ChauDoc_WL_lag7,CanTho_WL,CanTho_WL_lag3,CanTho_WL_lag7,is_proxy,sample_weight
BD00012019,106.58,10.43,0.95,2019-03-04,8.1,746.8,3,63,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022,163.74219009765457,0.9500000000000001,0.79,0.14,0.45199261536897173,0.30788541666666663,0.23804166666666668,0.4117894736842105,0.5285625,0.3084791666666667,0.28296875,0.25278125,0.7794516129032258,16.419180722891564,18.317078651685392,2.492877831625704,24.69938541666667,24.407083333333333,22.24527801645223,0.3151473684210526,0.28872916666666665,0.7903870967741935,0.7565833333333334,0.7264479166666667,0.8289677419354838,0.44848958333333333,0.39306250000000004,0.8899032258064516,False,1.0
BD00012019,106.58,10.43,0.95,2019-03-18,9.0,921.0,3,77,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356,163.74219009765457,1.06,0.46,0.08,0.4471664440928131,0.36748233761293264,0.2810729166666667,0.4753355224560836,0.29653124999999997,0.25004166666666666,0.22254166666666667,0.15148958333333332,0.0031346153846153893,17.373597826086957,16.921032258064514,1.9338198787271559,25.53578125,25.10271578947368,22.309504213821334,0.24566666666666667,0.17705263157894738,0.012615384615384605,0.7118541666666666,0.6741458333333333,0.5783461538461538,0.39663541666666663,0.3463541666666667,0.21573076923076923,True,0.7
BD00012019,106.58,10.43,0.95,2019-04-02,8.0,91.56,4,92,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,163.74219009765457,0.96,0.66,0.28,0.45437811610440726,0.4248336409369165,0.307625,0.4618228585617703,0.3080212765957447,0.4784,0.12203125,0.38486458333333334,0.3954668189125092,17.19912048192771,2.409875247148207,2.019953894736841,25.045833333333334,22.312657283618506,22.227879075100578,0.13626041666666666,0.41428125,0.3113186119699864,0.6754583333333333,1.1158333333333335,0.9142956091420317,0.34515625,0.518375,0.5478184787329647,True,0.7
BD00012019,106.58,10.43,0.95,2019-04-16,9.4,1832.0,4,106,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935,163.74219009765457,0.8200000000000001,0.39,0.33,0.44867929175644755,0.41234238441416726,0.3858932697116691,0.527172284292592,0.47321329316461525,0.5367650206782816,0.3543292304470137,0.36904389440025026,0.4129766396176193,-0.0010000000000000007,16.22221162587637,2.247754878727154,21.52485866159447,24.89270461822103,22.266837673639554,0.34976570776510024,0.34564626580917834,0.4176619851697934,0.8418279415128903,0.8367652695552183,0.9044664490203838,0.5210089298000792,0.5221773790302783,0.5451261098912087,True,0.7
BD00012019,106.58,10.43,0.95,2019-05-01,6.7,1526.0,5,121,0.49999999999999994,-0.8660254037844387,0.8717063187093219,-0.49002866642905923,163.74219009765457,0.77,0.42,0.23,0.29241666666666666,0.17909375000000002,0.43354969775052965,0.09964583333333334,0.5598235294117647,0.5439245480992766,0.5027450980392157,0.36771667349745685,0.3973549970480311,-0.0010000000000000007,-0.0010000000000000007,2.019953894736841,21.50217669843877,21.585448826003287,22.22562380129007,0.5140816326530613,0.3494953080386629,0.3534612013700758,0.9025294117647059,0.8507186221481794,0.9210637074326297,0.6841923076923078,0.516834046264805,0.5476156922746315,False,1.0
BD00012019,106.58,10.43,1.07,2019-05-16,4.1,985.6,5,136,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722,163.74219009765457,1.18,0.53,0.13,0.4298,0.43309473684210525,0.40589583333333334,0.2392291666666667,0.33945833333333336,0.5157834237786355,0.11521875,0.4127027027027027,0.11308888888888888,17.38022105263158,16.37583595079136,16.74251111111111,24.345791666666667,24.970118194271436,24.607927083333333,0.15141666666666667,0.42510810810810806,0.1633777777777778,0.6945520833333334,0.8493513513513514,0.5188222222222223,0.331875,0.6438108108108108,0.28444444444444444,False,1.0
BD00012019,106.58,10.43,1.07,2019-06-01,4.4,12.0,6,152,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206,163.74219009765457,1.12,0.63,0.17,0.44664067566251187,0.44462364161698453,0.4233685843794251,0.4749545580730218,0.4375147486686354,0.5542721030197929,0.3433534993579969,0.38130771237941957,-0.04331034482758621,-0.0010000000000000007,17.184158737246904,16.936227272727272,21.464807083264258,24.824320333513537,23.942510416666664,0.33317524234975165,0.36518585720492447,0.02239655172413793,0.8144601226296068,0.8674852356427013,0.5042413793103449,0.5001451770476444,0.5408038452259735,0.15763793103448276,True,0.7
BD00012019,106.58,10.43,1.07,2019-06-19,0.9,125.3,6,170,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817,163.74219009765457,0.58,1.15,0.63,0.40609996318438624,0.4548685013446752,0.4469417328535987,0.47409872811765014,0.47458855602041666,0.4770324496713775,0.4066187233811012,0.48185121240323847,0.3654306775884129,2.247754878727154,-0.0010000000000000007,16.84802492926264,22.234074346547985,21.533690624696664,24.822448397568635,0.36515339350351567,0.5021087313101986,0.35638386064757765,0.9163258015342517,0.9457281979303666,0.841613830751013,0.5546566872277712,0.6090259541870293,0.5242263104614717,True,0.7
BD00012020,106.58,10.43,0.73,2020-03-09,19.8,128.5,3,69,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906,163.74219009765457,1.09,0.35000000000000003,-0.11,0.4475455990847643,0.45005387468221336,0.3768832574514602,0.47465248507282454,0.5494322218289857,0.4914877594847252,0.4364515933311342,0.30062880260621405,0.342061358093377,-0.0010000000000000007,-0.0010000000000000007,2.2248369620604875,21.576620953446465,21.528285863766563,22.245839891452228,0.3325480831638697,0.35804404922353866,0.3386107150266753,0.9285808234797135,0.7640141949951387,0.811846162763584,0.5929317226830002,0.4583966768834179,0.5050291706892083,True,0.7
BD00012020,106.58,10.43,1.03,2020-03-27,12.9,6912.75,3,87,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777,163.74219009765457,0.21,0.8,0.36,0.3801943340810503,0.3759843410810991,0.3910977084308759,0.4776314639129782,0.4597901772246998,0.5459965663271633,0.409636134266489,0.33439630171110174,0.488465499590177,-0.0010000000000000007,0.2978890410958907,2.4085510922388766,21.560262538981583,21.71620457569311,21.995161167714812,0.38681804900546857,0.3340841322742946,0.5416810137605068,0.9004498893735411,0.8009411128607349,0.9148181759438911,0.5437036029467642,0.4880689425582581,0.5973214240484915,True,0.7
