Matram,longitude,latitude,Z.Elev,Date,Salinity,CL,CL_ppt,Dist_to_TanChau_km,River_Dist_km,Travel_Time_Days,WaterLevel_Mean,WaterLevel_Max,WaterLevel_Min,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
QLPH112019,105.46,9.55,0.41,2019-05-01,8.3,456.0,0.456,141.76523439969674,184.29480471960576,4,0.37,0.37,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
QLPH112019,105.46,9.55,0.41,2019-05-15,5.5,3562.0,3.562,141.76523439969674,184.29480471960576,4,0.29,0.29,0.29,0.09333333333333316,0.46714285714285725,0.49999999999999994,-0.8660254037844387,0.7295575540864875,-0.6839194216246106
QLPH112020,105.46,9.55,0.41,2020-02-11,0.2,319.5,0.3195,141.76523439969674,184.29480471960576,4,0.92,0.92,0.92,0.5499999999999997,0.442857142857143,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686
QLPH112020,105.46,9.55,0.41,2020-02-25,7.61,94.0,0.094,141.76523439969674,184.29480471960576,4,1.12,1.12,1.12,0.6999999999999997,0.31571428571428584,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871
QLPH112020,105.46,9.55,0.41,2020-03-14,4.7,313.25,0.31325,141.76523439969674,184.29480471960576,4,1.03,1.03,1.03,0.8599999999999998,0.4400000000000001,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
QLPH112020,105.46,9.55,0.41,2020-03-26,4.3,2446.5,2.4465,141.76523439969674,184.29480471960576,4,0.86,0.86,0.86,0.19999999999999982,0.0942857142857144,1.0,6.123233995736766e-17,0.995918996147179,0.09025161003104117
QLPH112020,105.46,9.55,0.41,2020-05-02,11.2,631.1,0.6311,141.76523439969674,184.29480471960576,4,-0.09,-0.09,-0.09,0.28333333333333305,0.532857142857143,0.49999999999999994,-0.8660254037844387,0.854322169749827,-0.5197438121555155
QLPH112020,105.46,9.55,0.41,2020-05-11,9.57,4714.85,4.71485,141.76523439969674,184.29480471960576,4,0.85,0.85,0.85,0.7599999999999998,0.34000000000000014,0.49999999999999994,-0.8660254037844387,0.7638886127905428,-0.6453481132295501
QLPH112020,105.46,9.55,0.41,2020-05-25,8.72,6214.0,6.214,141.76523439969674,184.29480471960576,4,0.68,0.68,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
QLPH112020,105.46,9.55,0.41,2020-06-09,4.6,151.0,0.151,141.76523439969674,184.29480471960576,4,0.85,0.85,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
QLPH112020,105.46,9.55,0.41,2020-06-23,3.1,2446.5,2.4465,141.76523439969674,184.29480471960576,4,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
QLPH112021,105.29,9.64,0.47,2015-07-13,7.1,883.0,0.883,128.98284276067207,167.6776955888737,3,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.5866666666666667,0.26428571428571457,-0.4999999999999997,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321
QLPH112022,105.29,9.64,0.47,2022-02-17,5.1,2823.0605297390052,,128.98284276067207,167.6776955888737,3,0.92,0.92,0.92,0.6433333333333334,0.5100000000000005,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889
