Matram,longitude,latitude,Z.Elev,Date,Salinity,Dist_to_TanChau_km,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
BD00012020,106.58,10.43,1.03,2020-05-09,13.5,155.18354278322323,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00012020,106.58,10.43,1.03,2020-05-25,11.8,155.18354278322323,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00012020,106.58,10.43,1.03,2020-06-09,7.5,155.18354278322323,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00012020,106.58,10.43,1.03,2020-06-23,3.2,155.18354278322323,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00012021,106.58,10.43,0.64,2021-01-29,3.68,155.18354278322323,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00012021,106.58,10.43,0.64,2021-02-28,1.3,155.18354278322323,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00012021,106.58,10.43,0.64,2021-03-15,9.95,155.18354278322323,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00012021,106.58,10.43,0.64,2021-03-29,11.0,155.18354278322323,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00012021,106.58,10.43,0.58,2021-04-14,9.2,155.18354278322323,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00012021,106.58,10.43,0.58,2021-04-28,4.2,155.18354278322323,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00012021,106.58,10.43,0.58,2021-05-14,4.7,155.18354278322323,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00022019,106.55,10.47,1.07,2019-03-04,0.2,150.9302005323889,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00022019,106.55,10.47,1.07,2019-03-18,0.4,150.9302005323889,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00022019,106.55,10.47,1.07,2019-04-02,0.5,150.9302005323889,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00022019,106.55,10.47,1.07,2019-04-16,1.7,150.9302005323889,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00022019,106.55,10.47,1.87,2019-05-01,0.5,150.9302005323889,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00022019,106.55,10.47,1.87,2019-05-16,1.0,150.9302005323889,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00022019,106.55,10.47,1.87,2019-06-01,0.5,150.9302005323889,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00022019,106.55,10.47,1.87,2019-06-19,0.4,150.9302005323889,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00022020,106.55,10.47,1.03,2020-03-09,3.0,150.9302005323889,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00022020,106.55,10.47,1.04,2020-03-27,2.87,150.9302005323889,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00022020,106.55,10.47,1.04,2020-04-27,6.6,150.9302005323889,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00022020,106.55,10.47,1.04,2020-05-09,2.9,150.9302005323889,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00022020,106.55,10.47,1.04,2020-05-25,1.29,150.9302005323889,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00022020,106.55,10.47,1.04,2020-06-09,3.23,150.9302005323889,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00022020,106.55,10.47,0.66,2020-06-23,1.87,150.9302005323889,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00022021,106.55,10.47,0.58,2021-01-29,0.72,150.9302005323889,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00022021,106.55,10.47,0.58,2021-02-28,1.3,150.9302005323889,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00022021,106.55,10.47,0.58,2021-03-15,1.84,150.9302005323889,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00022021,106.55,10.47,0.58,2021-03-29,1.9,150.9302005323889,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00022021,106.55,10.47,0.58,2021-04-14,2.0,150.9302005323889,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00022021,106.55,10.47,0.46,2021-04-28,1.5,150.9302005323889,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00022021,106.55,10.47,0.46,2021-05-14,1.3,150.9302005323889,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00032019,106.47,10.51,1.87,2019-03-04,0.1,141.41659968977453,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00032019,106.47,10.51,1.87,2019-03-18,0.1,141.41659968977453,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00032019,106.47,10.51,1.87,2019-04-02,0.2,141.41659968977453,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00032019,106.47,10.51,1.56,2019-04-16,0.2,141.41659968977453,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00032019,106.47,10.51,1.56,2019-05-01,0.3,141.41659968977453,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00032019,106.47,10.51,1.56,2019-05-16,0.3,141.41659968977453,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00032019,106.47,10.51,1.56,2019-06-01,0.2,141.41659968977453,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00032019,106.47,10.51,1.56,2019-06-19,0.2,141.41659968977453,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00032020,106.47,10.51,0.66,2020-03-09,1.3,141.41659968977453,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00032020,106.47,10.51,0.66,2020-03-27,1.16,141.41659968977453,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00032020,106.47,10.51,0.66,2020-04-27,2.5,141.41659968977453,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
